symbols,count,fixed attribute values
"(3, 6)",75,"(None, None, 0, None, None)"
"(3, 6, 14)",1,"(0, '?', 0, '?', 2)"
"(3, 6, 15)",6,"(None, 2, 0, None, None)"
"(3, 12, 6)",3,"(0, '?', 0, '?', 2)"
"(3, 12, 13)",1,"(0, '?', 0, '?', 2)"
"(3, 13)",1,"(2, 3, 0, 1, 0)"
"(3, 14)",75,"(None, None, 0, 1, None)"
"(3, 14, 6)",2,"(None, 0, 0, 1, 1)"
"(3, 14, 15)",12,"(None, 2, 0, 1, None)"
"(3, 15)",174,"(None, 2, 0, None, None)"
"(4, 5, 14, 15)",1,"(1, 2, 3, 1, 2)"
"(4, 6, 7, 8, 14)",1,"(0, 3, '?', 1, 0)"
"(4, 6, 7, 14, 15)",1,"(1, 2, 2, 1, 0)"
"(4, 6, 10, 12, 14)",2,"(None, '?', 3, 1, 0)"
"(4, 6, 10, 14, 15)",3,"(None, 2, 3, 1, None)"
"(4, 6, 14, 7)",2,"(1, 2, 2, 1, None)"
"(4, 6, 14, 15)",14,"(None, 2, None, 1, None)"
"(4, 6, 15)",2,"(None, 2, '?', 1, 1)"
"(4, 7)",58,"(None, None, 2, None, None)"
"(4, 7, 14, 6)",2,"(None, None, None, 1, None)"
"(4, 7, 14, 15)",12,"(None, 2, 2, 1, None)"
"(4, 7, 15)",4,"(None, 2, 2, '?', None)"
"(4, 12, 7)",3,"(0, None, None, '?', 2)"
"(4, 12, 14)",2,"('?', 2, 1, 1, None)"
"(4, 12, 14, 6)",1,"(2, '?', '?', 1, 0)"
"(4, 12, 15)",3,"(None, 2, None, None, None)"
"(4, 13, 14)",11,"(None, '?', '?', 1, None)"
"(4, 13, 14, 6)",1,"(2, '?', '?', 1, 2)"
"(4, 14)",53,"(None, None, None, 1, None)"
"(4, 14, 6)",29,"(None, None, None, 1, None)"
"(4, 14, 6, 7)",1,"('?', '?', 2, 1, 1)"
"(4, 14, 7)",28,"(None, None, 2, 1, None)"
"(4, 14, 15)",81,"(None, 2, None, 1, None)"
"(4, 15)",170,"(None, 2, None, None, None)"
"(4, 15, 7)",43,"(None, 2, 2, None, None)"
"(4, 15, 14, 6)",1,"(2, 2, 3, 1, 1)"
"(4, 15, 14, 7)",20,"(None, 2, 2, 1, None)"
"(5,)",400,"(None, None, None, 3, None)"
"(5, 6)",4,"(None, None, 0, 3, None)"
"(5, 7)",135,"(None, None, 2, 3, None)"
"(5, 15)",41,"(None, 2, None, None, None)"
"(6,)",10,"(None, 0, 0, 2, None)"
"(6, 7)",4,"(None, None, 2, None, None)"
"(6, 9, 11, 12, 14)",1,"(1, '?', '?', '?', '?')"
"(6, 14, 7)",1,"('?', '?', 2, 1, 1)"
"(6, 15)",1,"(3, 2, 1, 2, 3)"
"(7,)",207,"(None, None, 2, None, None)"
"(7, 4, 15)",1,"(2, 2, 2, '?', 2)"
"(7, 15)",5,"(None, 2, 2, None, None)"
"(8,)",110,"(None, 3, None, None, None)"
"(8, 1, 4)",29,"(None, 0, None, 0, None)"
"(8, 1, 11, 4)",1,"(3, 0, 0, 0, 1)"
"(8, 2, 4)",129,"(None, 1, None, 0, None)"
"(8, 2, 12, 4)",10,"(None, 1, None, 0, None)"
"(8, 3)",101,"(None, 3, 0, None, None)"
"(8, 3, 4)",58,"(None, None, 0, None, None)"
"(8, 3, 4, 14)",7,"(None, 3, 0, 1, None)"
"(8, 3, 5)",5,"(None, 3, 0, 3, None)"
"(8, 3, 6)",5,"(None, 3, 0, '?', None)"
"(8, 3, 14)",14,"(None, 3, 0, 1, None)"
"(8, 4)",335,"(None, None, None, None, None)"
"(8, 4, 6)",1,"(0, 3, 0, 1, 0)"
"(8, 4, 7)",76,"(None, None, 2, 0, None)"
"(8, 4, 12)",3,"(None, None, None, None, 2)"
"(8, 4, 14)",38,"(None, 3, None, 1, None)"
"(8, 4, 14, 6)",6,"(None, 3, None, 1, None)"
"(8, 4, 14, 7)",2,"(None, 3, '?', 1, None)"
"(8, 4, 15)",7,"(None, 2, None, 0, None)"
"(8, 5)",18,"(None, 3, None, 3, None)"
"(8, 5, 7)",9,"(None, 3, 2, 3, None)"
"(8, 6)",6,"(None, 3, None, '?', None)"
"(8, 7)",53,"(None, 3, None, None, None)"
"(8, 9)",44,"(None, 3, None, 2, None)"
"(8, 9, 3)",8,"(None, 3, 0, 2, None)"
"(8, 9, 4)",1,"('?', '?', '?', '?', 0)"
"(8, 9, 6, 7)",1,"(1, 3, 2, 2, 1)"
"(8, 9, 7)",6,"(None, 3, None, 2, None)"
"(8, 9, 12)",41,"(None, 3, 1, 2, None)"
"(8, 10)",17,"(None, 3, None, None, None)"
"(8, 10, 2, 4)",7,"(None, 1, 3, 0, None)"
"(8, 10, 4)",50,"(None, None, 3, 0, None)"
"(8, 11)",3,"(None, 3, 0, None, 1)"
"(8, 11, 4)",22,"(None, None, None, 0, None)"
"(8, 11, 4, 14)",1,"('?', 3, 0, 1, 2)"
"(8, 11, 5)",2,"(None, 3, '?', 3, 3)"
"(8, 11, 12)",2,"(3, None, 1, None, None)"
"(8, 11, 12, 4)",2,"(3, '?', 1, 0, None)"
"(8, 12)",125,"(None, None, 1, None, None)"
"(8, 12, 4)",140,"(None, None, None, 0, None)"
"(8, 12, 4, 13)",1,"('?', '?', '?', '?', 2)"
"(8, 12, 4, 15)",7,"(None, 2, 1, 0, None)"
"(8, 12, 5)",4,"(None, 3, 1, None, None)"
"(8, 12, 6)",1,"('?', 3, 1, 0, '?')"
"(8, 12, 7)",3,"(None, 3, None, '?', None)"
"(8, 12, 13)",2,"(None, None, None, None, None)"
"(8, 12, 13, 15)",1,"(2, 2, 1, 0, 1)"
"(8, 12, 14)",12,"(None, 3, 1, 1, None)"
"(8, 13)",2,"(2, 3, None, '?', 2)"
"(8, 14)",13,"(None, 3, None, 1, None)"
"(8, 14, 7)",1,"(1, 3, '?', 1, 3)"
"(9,)",56,"(None, None, None, 2, None)"
"(9, 1)",10,"(None, 0, None, 2, None)"
"(9, 1, 6)",2,"(2, 0, None, 2, 1)"
"(9, 2)",85,"(None, 1, None, 2, None)"
"(9, 2, 7)",4,"(None, 1, 2, 2, None)"
"(9, 2, 11)",1,"(0, 1, 0, '?', 0)"
"(9, 2, 11, 4)",1,"(3, '?', '?', '?', 0)"
"(9, 2, 12)",12,"(None, 1, 1, 2, None)"
"(9, 3)",6,"(None, None, 0, 2, None)"
"(9, 3, 6)",7,"(None, '?', 0, 2, None)"
"(9, 4)",1,"('?', '?', '?', '?', 0)"
"(9, 4, 12)",8,"(None, '?', '?', '?', None)"
"(9, 4, 12, 6)",1,"('?', '?', '?', '?', 0)"
"(9, 4, 12, 7)",1,"(0, '?', '?', '?', 0)"
"(9, 4, 12, 15)",1,"('?', '?', '?', '?', 0)"
"(9, 6)",15,"(None, None, None, 2, None)"
"(9, 6, 1)",12,"(None, 0, None, 2, None)"
"(9, 6, 7)",1,"(2, '?', 2, 2, 2)"
"(9, 6, 14)",1,"(1, '?', '?', '?', '?')"
"(9, 6, 15)",9,"(None, 2, None, 2, None)"
"(9, 7)",50,"(None, None, 2, 2, None)"
"(9, 10)",37,"(None, None, 3, 2, None)"
"(9, 10, 1)",2,"(None, 0, 3, 2, None)"
"(9, 10, 2)",2,"('?', 1, 3, 2, 1)"
"(9, 10, 6, 1)",1,"(0, 0, 3, 2, '?')"
"(9, 10, 15)",2,"(2, 2, 3, 2, '?')"
"(9, 11)",4,"(3, '?', '?', '?', None)"
"(9, 11, 4)",1,"(3, '?', '?', '?', 0)"
"(9, 11, 6)",4,"(None, '?', '?', '?', 1)"
"(9, 11, 6, 14)",3,"(1, '?', '?', '?', None)"
"(9, 11, 12)",2,"(3, '?', None, None, None)"
"(9, 11, 12, 4)",1,"(3, '?', '?', '?', 0)"
"(9, 11, 12, 6)",1,"('?', '?', '?', '?', 1)"
"(9, 11, 12, 14)",1,"(1, '?', '?', '?', '?')"
"(9, 11, 14)",1,"(1, '?', '?', '?', '?')"
"(9, 12)",58,"(None, None, None, None, None)"
"(9, 12, 4)",2,"(None, '?', 1, 0, None)"
"(9, 12, 6)",16,"(None, None, None, None, None)"
"(9, 12, 6, 15)",8,"(None, 2, 1, 2, None)"
"(9, 12, 13)",3,"(None, '?', None, None, 2)"
"(9, 12, 15)",13,"(None, 2, 1, None, None)"
"(9, 13)",1,"(2, '?', '?', 2, 2)"
"(9, 13, 4, 12)",2,"(None, '?', '?', '?', 0)"
"(9, 13, 7)",1,"(2, '?', 2, 2, 3)"
"(9, 15)",49,"(None, 2, None, 2, None)"
"(9, 15, 7)",5,"(None, 2, 2, 2, None)"
"(10,)",199,"(None, None, 3, None, None)"
"(10, 2)",59,"(None, 1, 3, None, None)"
"(10, 2, 4)",36,"(None, 1, 3, 0, None)"
"(10, 2, 4, 14)",2,"(1, 1, 3, 1, None)"
"(10, 2, 5)",2,"(None, 1, 3, 3, 3)"
"(10, 4)",144,"(None, None, 3, None, None)"
"(10, 4, 5)",2,"(None, 2, 3, 1, None)"
"(10, 4, 5, 14)",1,"(1, 2, 3, 1, '?')"
"(10, 4, 6)",14,"(None, None, 3, 1, None)"
"(10, 4, 6, 15)",1,"('?', 2, 3, 1, 3)"
"(10, 4, 12)",1,"(0, '?', 3, 0, 2)"
"(10, 4, 12, 6)",1,"(0, '?', 3, 1, 0)"
"(10, 4, 14)",59,"(None, None, None, 1, None)"
"(10, 4, 14, 6)",25,"(None, None, 3, 1, None)"
"(10, 4, 14, 15)",7,"(None, 2, 3, 1, None)"
"(10, 4, 15)",49,"(None, 2, 3, None, None)"
"(10, 5)",95,"(None, None, 3, 3, None)"
"(10, 5, 15)",1,"('?', 2, 3, 2, 1)"
"(10, 6)",7,"(None, None, 3, None, None)"
"(10, 11)",1,"(1, '?', 3, '?', 0)"
"(10, 11, 14)",1,"(1, 3, '?', 1, 2)"
"(10, 12)",1,"(2, '?', 3, '?', 2)"
"(10, 12, 13)",1,"(2, '?', 3, '?', 2)"
"(10, 13)",1,"(2, '?', 3, '?', 2)"
"(10, 14)",1,"(1, '?', 3, 1, 2)"
"(10, 15)",119,"(None, 2, 3, None, None)"
"(11,)",4,"(3, '?', '?', '?', None)"
"(11, 2, 3)",2,"(3, 1, 0, '?', None)"
"(11, 3, 6)",1,"(3, 1, 0, '?', 1)"
"(11, 4, 13, 14)",1,"(3, '?', '?', 1, 3)"
"(11, 4, 14)",5,"(3, '?', '?', 1, None)"
"(11, 6)",1,"(3, '?', '?', '?', 1)"
"(11, 8, 3, 4)",1,"(1, '?', 0, 0, 3)"
"(11, 12)",6,"(None, '?', None, None, 3)"
"(11, 12, 7)",2,"('?', '?', '?', '?', 3)"
"(11, 12, 14)",1,"(3, '?', '?', 1, 3)"
"(11, 13)",1,"(3, '?', '?', '?', 2)"
"(12,)",81,"(None, None, 1, None, None)"
"(12, 4)",38,"(None, None, None, None, None)"
"(12, 4, 6)",1,"(2, 2, 1, 1, 0)"
"(12, 4, 14)",3,"(2, 2, 1, 1, None)"
"(12, 4, 14, 15)",2,"(None, 2, 1, 1, '?')"
"(12, 4, 15)",50,"(None, 2, None, None, None)"
"(12, 5)",65,"(None, None, 1, 3, None)"
"(12, 6)",1,"(1, '?', 1, '?', 3)"
"(12, 6, 15)",2,"(None, 2, 1, None, None)"
"(12, 13)",4,"(None, '?', None, '?', None)"
"(12, 13, 14)",1,"(0, '?', 1, 1, 0)"
"(12, 13, 15)",2,"(2, None, None, '?', 2)"
"(12, 14)",110,"(None, None, 1, 1, None)"
"(12, 14, 15)",11,"(None, 2, 1, 1, None)"
"(12, 15)",79,"(None, 2, 1, None, None)"
"(13,)",4,"(2, '?', None, '?', None)"
"(13, 7)",3,"(2, '?', None, '?', None)"
"(13, 12, 4)",1,"(2, '?', 1, 0, 0)"
"(13, 14)",1,"(2, '?', '?', 1, 1)"
"(13, 14, 7)",2,"(2, '?', 2, 1, None)"
"(13, 15)",2,"(2, 2, '?', '?', 2)"
"(14,)",62,"(None, None, None, 1, None)"
"(14, 7)",23,"(None, None, None, 1, None)"
"(14, 15)",38,"(None, 2, None, None, None)"
"(15,)",119,"(None, 2, None, None, None)"
"(15, 4, 7)",4,"(3, 2, 2, '?', None)"
"(15, 5, 7)",1,"(0, 2, 2, 3, 2)"
"(15, 6, 7)",2,"(1, 2, 2, None, 1)"
"(15, 7)",126,"(None, None, 2, None, None)"
